,Country,Crop,Year,average_rainfall_in_mm_per_year,pesticides_in_tons_used,avg_temp,hg/ha_yield
11788,India,Potatoes,1997,1083.0,52279.0,24.83,193913
26823,Turkey,Wheat,2001,593.0,25539.0,15.11,20765
27394,Ukraine,Potatoes,1998,565.0,37200.78,7.74,101804
6922,Colombia,Plantains and others,2013,3240.0,54563.38,22.85,84230
16518,Japan,Yams,1997,1668.0,79821.18,13.43,209840
21736,Pakistan,Sorghum,1990,494.0,5299.0,19.36,5736
6220,Central African Republic,Yams,2002,1342.0,22.87,25.44,67308
14639,Indonesia,Potatoes,1992,2702.0,825.0,27.4,143819
12097,India,Cassava,1999,1083.0,46195.0,25.78,239523
18484,Malaysia,"Rice, paddy",2008,2875.0,54821.91,27.12,35836
26804,Turkey,Maize,2001,593.0,25539.0,18.63,40063
20969,Namibia,Maize,1995,285.0,56.0,20.76,8768
3790,Brazil,Soybeans,2002,1761.0,145552.0,21.3,25739
16213,Japan,Wheat,1990,1668.0,79821.18,16.4,36540
22278,Pakistan,Potatoes,1999,494.0,20450.0,25.5,165413
21043,Nepal,"Rice, paddy",1991,1500.0,60.11,14.94,22826
20483,Morocco,Wheat,1990,346.0,9364.0,18.17,13290
16280,Japan,"Rice, paddy",1992,1668.0,79821.18,12.94,62754
18057,Lithuania,Wheat,2013,656.0,2515.69,7.42,43022
16540,Japan,Soybeans,1998,1668.0,79821.18,16.39,14495
18959,Mauritius,Sweet potatoes,2010,2041.0,731.46,24.67,114143
569,Argentina,Cassava,2002,591.0,64134.56,17.58,100000
9348,Greece,Soybeans,1994,652.0,6341.0,18.47,20107
13480,India,Wheat,2007,1083.0,27422.77,27.55,27079
15994,Italy,Maize,2012,832.0,61889.0,8.05,80325
14870,Indonesia,Sweet potatoes,1998,2702.0,1597.0,27.72,95750
5139,Burkina Faso,Sweet potatoes,2013,748.0,843.0,29.41,146793
12215,India,Soybeans,1999,1083.0,46195.0,26.96,11380
7315,Dominican Republic,Cassava,2005,1410.0,3515.56,26.9,66559
5042,Burkina Faso,Soybeans,2000,748.0,75.44,28.6,8519
1347,Australia,Sweet potatoes,2002,534.0,26651.0,17.73,347368
6353,Chile,Potatoes,1996,1522.0,15373.0,13.16,138900
4441,Brazil,Maize,2010,1761.0,342580.0,19.01,43667
23740,Qatar,Wheat,1991,74.0,3.0,26.77,23048
18038,Lithuania,Potatoes,2007,656.0,2722.82,7.44,109110
2238,Bangladesh,Maize,2004,2666.0,5587.81,26.14,48243
12857,India,"Rice, paddy",2004,1083.0,35113.0,27.63,29756
27800,Uruguay,Sorghum,2002,1300.0,5184.5,17.06,32075
22097,Pakistan,Potatoes,1996,494.0,11955.0,22.61,134795
4730,Brazil,Cassava,2013,1761.0,367778.0,26.14,140795
6031,Canada,Wheat,2009,537.0,54529.4,4.71,27897
25568,Spain,Soybeans,2008,636.0,40719.0,16.92,29801
18854,Mauritania,Potatoes,2011,92.0,13.35,27.87,55446
16520,Japan,Maize,1998,1668.0,79821.18,13.74,24468
27519,United Kingdom,Wheat,1993,1220.0,32387.0,9.14,73282
2011,Bahamas,Maize,2000,1292.0,484.59,25.16,24762
17140,Japan,Wheat,2013,1668.0,52794.3,16.0,38616
20128,Mexico,Cassava,2009,758.0,61690.08,21.76,143440
10768,India,Sorghum,1991,1083.0,72133.0,25.96,6553
10497,Hungary,Potatoes,2013,589.0,7744.5,12.44,232630
26115,Switzerland,Potatoes,1999,1537.0,1526.6,7.76,352256
23032,Pakistan,Maize,2012,494.0,990.09,18.74,39830
6281,Central African Republic,"Rice, paddy",2012,1342.0,22.87,25.28,30000
27651,United Kingdom,Wheat,2007,1220.0,22331.7,8.94,72244
5341,Burundi,Potatoes,2013,1274.0,956.06,21.53,62252
15997,Italy,Potatoes,2012,832.0,61889.0,13.45,254511
18612,Mali,Wheat,2001,282.0,15.36,27.79,25237
1122,Australia,Sorghum,1997,534.0,34091.0,12.13,26195
20488,Morocco,Potatoes,1991,346.0,9771.14,17.47,171948
949,Australia,"Rice, paddy",1993,534.0,23899.0,13.81,76400
2229,Bangladesh,Potatoes,2002,2666.0,2954.29,26.1,126010
23490,Peru,Sweet potatoes,2010,1738.0,15590.54,16.97,167924
19218,Mexico,Sweet potatoes,1993,758.0,34468.93,19.73,185676
23652,Portugal,Potatoes,1999,854.0,15411.0,16.09,156482
16839,Japan,Sweet potatoes,2006,1668.0,65248.26,15.92,242377
8864,France,Sorghum,2009,867.0,63676.0,11.46,53928
11178,India,Sweet potatoes,1993,1083.0,66388.0,25.06,85962
11915,India,Cassava,1998,1083.0,49157.0,26.12,252815
5357,Cameroon,Yams,1990,1604.0,450.01,25.08,39310
16786,Japan,"Rice, paddy",2005,1668.0,63829.77,15.36,66483
13671,India,Cassava,2009,1083.0,28707.01,28.1,343433
6952,Croatia,Sorghum,1995,1113.0,3418.0,10.14,40301
8091,Egypt,Wheat,1990,51.0,13214.0,20.73,51967
14748,Indonesia,"Rice, paddy",1995,2702.0,1597.0,25.46,43487
16765,Japan,Yams,2004,1668.0,64688.88,16.56,229051
10930,India,"Rice, paddy",1992,1083.0,70791.0,25.73,26092
3166,Brazil,Potatoes,1996,1761.0,101621.67,25.94,146506
1912,Azerbaijan,Maize,1999,447.0,148.68,12.74,35343
20847,Mozambique,Sweet potatoes,1997,1032.0,60.63,21.54,67816
547,Argentina,Soybeans,2000,591.0,63265.78,16.98,23312
741,Argentina,Sweet potatoes,2013,591.0,171945.54,16.45,147498
12672,India,Potatoes,2002,1083.0,42482.56,26.63,194173
18396,Malawi,Wheat,2011,1181.0,553.57,20.92,15214
26093,Switzerland,Wheat,1993,1537.0,1934.5,7.48,59382
3423,Brazil,Yams,1998,1761.0,118930.56,20.71,91823
17858,Libya,Maize,1990,56.0,87.0,20.53,10000
8534,El Salvador,Sorghum,2007,1784.0,1940.78,26.02,15307
2192,Bangladesh,Potatoes,1999,2666.0,2532.0,26.31,112810
18435,Malaysia,Maize,1995,2875.0,39406.48,27.05,18696
16942,Japan,Maize,2009,1668.0,60970.8,15.61,25385
23553,Poland,Potatoes,2001,600.0,8855.0,8.26,162270
19501,Mexico,Maize,1998,758.0,34468.93,16.21,23429
8729,Finland,Potatoes,2001,536.0,1423.27,5.35,244267
1979,Azerbaijan,Wheat,2012,447.0,516.35,13.0,26144
13677,India,Cassava,2009,1083.0,28707.01,27.15,343433
19185,Mexico,Potatoes,1993,758.0,34468.93,24.75,168931
26776,Turkey,Maize,2000,593.0,33471.0,10.39,41605
1911,Azerbaijan,Wheat,1998,447.0,148.68,12.79,15764
24455,Senegal,Potatoes,2011,686.0,741.85,25.41,215517
9416,Greece,"Rice, paddy",2005,652.0,12083.0,17.91,74059
10727,India,Potatoes,1991,1083.0,72133.0,25.82,162540
25770,Sri Lanka,Cassava,2001,1712.0,1705.05,26.63,85560
4014,Brazil,Wheat,2005,1761.0,232232.0,24.79,19735
1927,Azerbaijan,Wheat,2001,447.0,148.68,12.97,26154
21137,Nepal,Potatoes,2011,1500.0,342.92,15.12,137352
23650,Portugal,Yams,1998,854.0,14389.0,16.4,161538
19798,Mexico,Sweet potatoes,2002,758.0,16189.88,21.5,184236
2369,Bangladesh,Sorghum,2013,2666.0,15330.16,26.59,11343
23360,Peru,Potatoes,1995,1738.0,3134.0,17.26,97817
13954,India,Sorghum,2010,1083.0,40093.69,27.68,8602
7947,Ecuador,Maize,2009,2274.0,9666.87,22.01,22003
1170,Australia,Soybeans,1998,534.0,37215.0,12.46,17035
11708,India,Sweet potatoes,1996,1083.0,56114.0,24.78,80716
3693,Brazil,Soybeans,2001,1761.0,151523.0,19.73,27105
24925,South Africa,Potatoes,2004,495.0,26857.0,18.75,346081
198,Algeria,Maize,2011,89.0,13861.76,17.79,23374
12296,India,Maize,2000,1083.0,44957.52,24.57,18216
18347,Malawi,Soybeans,2005,1181.0,295.51,21.37,5797
1340,Australia,Soybeans,2002,534.0,26651.0,18.93,19487
26645,Turkey,Wheat,1994,593.0,24219.0,19.76,17975
7073,Denmark,Wheat,2000,703.0,3174.0,9.67,74797
6321,Chile,Maize,1993,1522.0,15373.0,13.26,84890
26831,Turkey,Potatoes,2002,593.0,27915.0,10.81,262966
19161,Mexico,Wheat,1992,758.0,34468.93,24.87,39530
25134,South Africa,Soybeans,2011,495.0,26857.0,15.49,16986
18846,Mauritania,Maize,2010,92.0,67.59,28.7,8592
6249,Central African Republic,Cassava,2008,1342.0,22.87,25.76,30000
2437,Belarus,Potatoes,2013,618.0,9163.51,7.83,193536
19128,Mexico,"Rice, paddy",1992,758.0,34468.93,21.0,43577
11666,India,Sorghum,1996,1083.0,56114.0,27.01,9591
7818,Ecuador,Potatoes,2004,2274.0,29799.84,22.04,71587
16409,Japan,"Rice, paddy",1995,1668.0,79821.18,14.97,63432
4671,Brazil,Sorghum,2012,1761.0,346583.0,27.34,29317
26139,Switzerland,Potatoes,2006,1537.0,1359.04,8.19,326986
3939,Brazil,Maize,2005,1761.0,232232.0,22.05,30403
20897,Mozambique,Wheat,2005,1032.0,770.88,22.27,11071
15451,Iraq,Maize,1996,216.0,616.0,20.13,20833
3875,Brazil,Sorghum,2004,1761.0,214725.0,17.88,23187
546,Argentina,Sorghum,2000,591.0,63265.78,17.66,46477
22246,Pakistan,Soybeans,1998,494.0,18406.0,27.36,12959
21731,Pakistan,Sorghum,1990,494.0,5299.0,27.0,5736
12944,India,Wheat,2004,1083.0,35113.0,26.11,27132
17404,Kenya,Potatoes,1990,630.0,3469.0,15.94,88655
20366,Mexico,Soybeans,2012,758.0,64512.22,21.52,17389
12881,India,Sorghum,2004,1083.0,35113.0,24.85,7161
3429,Brazil,Yams,1998,1761.0,118930.56,18.49,91823
11621,India,Potatoes,1996,1083.0,56114.0,27.01,169913
14496,India,Soybeans,2013,1083.0,45620.0,25.44,10123
11811,India,"Rice, paddy",1997,1083.0,52279.0,24.71,28457
12063,India,Sweet potatoes,1998,1083.0,49157.0,26.12,86907
21299,New Zealand,Wheat,2010,1732.0,5086.0,13.54,81241
8965,Germany,Maize,1996,700.0,31683.0,4.49,78272
3070,Brazil,"Rice, paddy",1995,1761.0,92967.22,22.07,25668
28009,Zambia,Wheat,2007,1020.0,1670.0,20.87,61511
27611,United Kingdom,Wheat,2002,1220.0,30995.26,8.76,80028
7082,Denmark,Potatoes,2006,703.0,3212.0,9.74,352642
19553,Mexico,Cassava,1999,758.0,34468.93,25.03,136634
3644,Brazil,Maize,2001,1761.0,151523.0,18.67,34019
26786,Turkey,"Rice, paddy",2000,593.0,33471.0,10.39,60492
19800,Mexico,Wheat,2002,758.0,16189.88,21.5,50999
16170,Jamaica,Maize,2012,2051.0,909.71,27.51,11891
24702,South Africa,Potatoes,1995,495.0,18025.0,15.77,257634
21184,Netherlands,Maize,2001,778.0,9424.73,10.24,88971
19520,Mexico,Sorghum,1998,758.0,34468.93,21.38,33152
621,Argentina,Potatoes,2006,591.0,65872.12,18.1,285828
577,Argentina,Sorghum,2002,591.0,64134.56,17.58,52691
12489,India,Potatoes,2001,1083.0,43720.04,26.52,183627
27731,Uruguay,Soybeans,1992,1300.0,2072.03,16.7,19886
24736,South Africa,Sorghum,1996,495.0,19508.0,15.23,30774
13263,India,Soybeans,2006,1083.0,37423.0,25.85,10628
23917,Romania,Wheat,2009,637.0,6548.7,12.47,24305
14425,India,Potatoes,2013,1083.0,45620.0,27.37,227606
1977,Azerbaijan,Sorghum,2012,447.0,516.35,13.0,1500
25489,Spain,Sweet potatoes,2004,636.0,47445.0,17.41,165915
15751,Italy,Soybeans,1993,832.0,89282.2,12.71,31552
21153,Netherlands,Wheat,1990,778.0,9729.0,10.63,76528
2070,Bahrain,Potatoes,2001,83.0,9.2,27.36,110000
16666,Japan,Soybeans,2001,1668.0,78735.45,15.4,20195
23626,Portugal,Yams,1994,854.0,9580.0,16.12,74403
4263,Brazil,"Rice, paddy",2008,1761.0,312637.0,20.22,42311
19551,Mexico,Cassava,1999,758.0,34468.93,16.09,136634
5389,Cameroon,Maize,1994,1604.0,411.42,24.93,11644
14901,Indonesia,Soybeans,1999,2702.0,1597.0,27.17,12013
3021,Brazil,Wheat,1994,1761.0,84312.78,26.9,15541
5335,Burundi,Soybeans,2012,1274.0,98.59,21.44,7283
9422,Greece,Potatoes,2006,652.0,7505.3,17.78,198412
21022,Namibia,Sorghum,2010,285.0,56.0,20.62,2901
5112,Burkina Faso,"Rice, paddy",2010,748.0,442.89,29.17,20238
1113,Australia,Potatoes,1997,534.0,34091.0,17.51,313056
44,Albania,Potatoes,1999,1485.0,502.86,16.57,142018
16247,Japan,Soybeans,1991,1668.0,79821.18,15.49,14013
15804,Italy,Sorghum,1997,832.0,84799.0,8.18,57487
5930,Canada,Soybeans,2005,537.0,36363.0,7.22,27082
4777,Brazil,Soybeans,2013,1761.0,367778.0,17.57,29285
23719,Portugal,"Rice, paddy",2011,854.0,14024.98,16.91,58855
8860,France,Wheat,2008,867.0,78577.0,11.28,71018
1717,Australia,Soybeans,2012,534.0,48687.88,14.27,22598
5659,Canada,Potatoes,1993,537.0,29296.5,3.96,107674
24686,South Africa,Soybeans,1994,495.0,16582.0,15.1,11473
12799,India,Cassava,2004,1083.0,35113.0,25.98,270436
523,Argentina,Maize,1999,591.0,62831.39,17.15,53702
15822,Italy,Sweet potatoes,1998,832.0,84117.0,7.77,171429
15832,Italy,Sorghum,1999,832.0,81583.0,7.64,64309
25772,Sri Lanka,Plantains and others,2001,1712.0,1705.05,26.63,118178
9291,Ghana,"Rice, paddy",2010,1187.0,378.97,27.57,27126
18181,Madagascar,"Rice, paddy",2006,1513.0,109.39,20.09,27667
27867,Uruguay,Maize,2013,1300.0,19028.6,15.92,56309
25135,South Africa,Sweet potatoes,2011,495.0,26857.0,20.72,30706
24884,South Africa,Sweet potatoes,2001,495.0,26857.0,15.68,34804
14760,Indonesia,Sweet potatoes,1995,2702.0,1597.0,25.46,94939
27065,Turkey,Potatoes,2011,593.0,39534.43,19.36,324041
2759,Brazil,Maize,1992,1761.0,67003.89,25.61,22828
1720,Australia,Sweet potatoes,2012,534.0,48687.88,16.84,331853
24060,Rwanda,Maize,2004,1212.0,159.54,19.93,7670
11633,India,"Rice, paddy",1996,1083.0,56114.0,25.55,28226
12173,India,"Rice, paddy",1999,1083.0,46195.0,26.21,29782
7289,Dominican Republic,Potatoes,2002,1410.0,4018.07,27.05,166370
21957,Pakistan,Maize,1994,494.0,6183.0,22.93,15004
6253,Central African Republic,"Rice, paddy",2008,1342.0,22.87,25.76,15000
25339,Spain,Soybeans,1996,636.0,33236.0,17.01,19741
23853,Romania,Potatoes,1998,637.0,13979.0,11.37,128302
24140,Rwanda,Cassava,2013,1212.0,1841.5,19.93,157657
20378,Mexico,Wheat,2012,758.0,64512.22,20.61,56568
17565,Kenya,"Rice, paddy",2007,630.0,1578.0,16.6,28715
8440,El Salvador,Sweet potatoes,1994,1784.0,3630.31,26.33,61250
4509,Brazil,Wheat,2010,1761.0,342580.0,24.95,28288
19408,Mexico,Sweet potatoes,1996,758.0,34468.93,21.08,185891
15123,Indonesia,Sweet potatoes,2006,2702.0,1597.0,27.55,105267
23217,Papua New Guinea,"Rice, paddy",1999,3142.0,105.0,25.38,18583
5097,Burkina Faso,Sorghum,2008,748.0,190.92,28.4,9859
18439,Malaysia,Maize,1996,2875.0,39406.48,27.04,18000
25443,Spain,Soybeans,2001,636.0,35700.0,12.33,26795
7438,Dominican Republic,Sweet potatoes,2012,1410.0,6316.61,26.87,81007
6227,Central African Republic,Yams,2004,1342.0,22.87,25.67,67308
10442,Hungary,Maize,2004,589.0,9940.5,10.37,70012
13252,India,Soybeans,2006,1083.0,37423.0,26.34,10628
24931,South Africa,Sorghum,2004,495.0,26857.0,21.11,28692
15026,Indonesia,Maize,2004,2702.0,1597.0,27.32,33439
24284,Saudi Arabia,Wheat,2007,59.0,4216.71,26.49,56844
11255,India,Potatoes,1994,1083.0,61357.0,25.33,166101
1985,Azerbaijan,Wheat,2013,447.0,489.8,14.12,26719
25204,Spain,Potatoes,1990,636.0,39562.0,17.36,196487
14664,Indonesia,Maize,1993,2702.0,1597.0,25.46,21975
2863,Brazil,Potatoes,1993,1761.0,75658.33,17.93,146090
28118,Zimbabwe,Sorghum,1997,657.0,2762.0,20.63,3585
15329,Indonesia,"Rice, paddy",2012,2702.0,1597.0,27.48,51360
948,Australia,"Rice, paddy",1993,534.0,23899.0,11.84,76400
4036,Brazil,Cassava,2006,1761.0,238716.0,24.57,140463
13652,India,Wheat,2008,1083.0,14485.33,25.35,28022
15560,Iraq,Potatoes,2006,216.0,824.14,23.82,176444
1639,Australia,Sweet potatoes,2010,534.0,42169.39,14.23,305974
23819,Romania,Sorghum,1992,637.0,15134.0,11.55,5500
20466,Montenegro,Potatoes,2012,241.0,71.0,11.53,118033
12745,India,Soybeans,2002,1083.0,42482.56,26.49,7624
21084,Nepal,Soybeans,1999,1500.0,101.39,15.78,7732
28139,Zimbabwe,Maize,2000,657.0,2953.36,20.28,11795
27182,Uganda,Sorghum,1993,1180.0,71.0,23.62,15020
28054,Zambia,Sorghum,2013,1020.0,1670.0,20.14,6478
24787,South Africa,"Rice, paddy",1998,495.0,24304.0,21.22,22744
11964,India,Potatoes,1998,1083.0,49157.0,26.27,146020
1613,Australia,Potatoes,2010,534.0,42169.39,20.33,351334
2221,Bangladesh,Sorghum,2001,2666.0,3295.78,25.93,12346
20411,Mexico,"Rice, paddy",2013,758.0,59920.18,24.19,54252
24061,Rwanda,Potatoes,2004,1212.0,159.54,19.93,80407
5144,Burundi,"Rice, paddy",1990,1274.0,92.08,21.15,33333
6594,Colombia,Cassava,1994,3240.0,17051.34,22.33,94651
13984,India,Sweet potatoes,2010,1083.0,40093.69,26.52,92069
15255,Indonesia,"Rice, paddy",2010,2702.0,1597.0,27.46,50153
16306,Japan,Yams,1992,1668.0,79821.18,15.21,188269
24803,South Africa,Wheat,1998,495.0,24304.0,21.22,25295
18885,Mauritius,Maize,1992,2041.0,687.86,23.81,44333
21162,Netherlands,Wheat,1993,778.0,10505.0,9.47,87712
15783,Italy,Wheat,1995,832.0,84153.0,12.47,32013
2127,Bangladesh,Sweet potatoes,1993,2666.0,1487.0,25.73,95714
4152,Brazil,Potatoes,2007,1761.0,304031.0,27.92,240356
17825,Lesotho,Maize,2006,788.0,5.25,14.18,5974
4513,Brazil,Yams,2010,1761.0,342580.0,18.18,95332
25841,Sri Lanka,Sweet potatoes,2010,1712.0,1450.54,26.83,79014
2675,Brazil,"Rice, paddy",1991,1761.0,58349.44,20.13,23020
22422,Pakistan,Sorghum,2001,494.0,11871.0,25.18,6197
20616,Morocco,"Rice, paddy",2000,346.0,13435.43,18.14,45000
24890,South Africa,Wheat,2001,495.0,26857.0,15.68,25708
1294,Australia,Soybeans,2001,534.0,32710.0,16.63,14626
21648,Niger,Wheat,2012,151.0,21.37,29.61,16537
8883,France,Soybeans,2012,867.0,63547.59,11.22,27815
4467,Brazil,Sorghum,2010,1761.0,342580.0,22.12,23172
49,Albania,Soybeans,2000,1485.0,565.82,16.67,15000
15841,Italy,Maize,2000,832.0,79447.0,13.42,95277
8364,Egypt,"Rice, paddy",2011,51.0,12945.0,21.99,95670
25453,Spain,Maize,2002,636.0,40727.0,17.51,95142
16440,Japan,Maize,1996,1668.0,79821.18,12.61,24510
928,Australia,Wheat,1992,534.0,22234.0,15.78,17812
24408,Senegal,"Rice, paddy",2002,686.0,328.0,25.4,22676
7668,Ecuador,Sweet potatoes,1997,2274.0,7612.0,22.88,38750
409,Argentina,Cassava,1992,591.0,26156.0,17.09,100000
24554,Slovenia,Wheat,2013,1162.0,917.49,11.58,43528
20866,Mozambique,"Rice, paddy",2000,1032.0,34.69,21.51,9816
26628,Turkey,Maize,1994,593.0,24219.0,14.88,38181
18766,Mauritania,Sweet potatoes,1997,92.0,39.09,28.28,10000
22591,Pakistan,Maize,2005,494.0,7914.31,18.75,29843
27024,Turkey,Soybeans,2009,593.0,37651.15,18.41,36570
21027,Namibia,Wheat,2011,285.0,56.0,19.26,61267
9308,Ghana,Yams,2012,1187.0,378.97,26.86,155717
17724,Lebanon,Wheat,2002,661.0,1816.0,19.91,27356
18887,Mauritius,"Rice, paddy",1992,2041.0,687.86,23.81,50000
18690,Mali,Sorghum,2011,282.0,3.25,27.79,7067
18061,Madagascar,"Rice, paddy",1990,1513.0,128.41,19.62,20773
13062,India,Sorghum,2005,1083.0,35342.0,27.49,7968
5738,Canada,Soybeans,1996,537.0,35240.8,5.81,25168
23806,Romania,"Rice, paddy",1990,637.0,25255.0,12.26,16667
1697,Australia,Potatoes,2012,534.0,48687.88,20.08,382592
25946,Suriname,Soybeans,1998,2331.0,151.33,27.65,9000
24615,South Africa,Potatoes,1992,495.0,16582.0,21.53,178455
21960,Pakistan,Maize,1994,494.0,6183.0,26.13,15004
21379,Nicaragua,"Rice, paddy",1998,2280.0,4373.1,27.83,34730
14011,India,Wheat,2010,1083.0,40093.69,26.02,28395
20976,Namibia,Sorghum,1997,285.0,56.0,19.97,3740
25805,Sri Lanka,Potatoes,2006,1712.0,1751.75,26.56,148094
25461,Spain,Sorghum,2002,636.0,40727.0,12.52,37970
18456,Malaysia,"Rice, paddy",2000,2875.0,39406.48,27.14,30640
18002,Lithuania,Potatoes,1994,656.0,713.0,6.3,94112
9849,Guinea,Sorghum,2013,1651.0,877.19,27.29,9592
5257,Burundi,Yams,2002,1274.0,98.1,21.45,58376
9299,Ghana,Sorghum,2011,1187.0,378.97,27.11,11790
1337,Australia,Soybeans,2002,534.0,26651.0,20.38,19487
27871,Uruguay,Soybeans,2013,1300.0,19028.6,15.92,26333
22650,Pakistan,Maize,2006,494.0,6925.13,23.28,30368
18323,Malawi,"Rice, paddy",2001,1181.0,177.24,20.59,18576
12276,India,Cassava,2000,1083.0,44957.52,26.05,269087
6423,Chile,Potatoes,2004,1522.0,9830.72,13.44,192104
23420,Peru,Cassava,2002,1738.0,8322.88,17.44,107337
7736,Ecuador,Plantains and others,2000,2274.0,17948.0,21.46,30460
17237,Kazakhstan,"Rice, paddy",1999,250.0,4720.28,7.09,28070
21263,New Zealand,Wheat,2000,1732.0,3634.3,13.4,62095
11833,India,Sorghum,1997,1083.0,52279.0,24.71,6920
5014,Burkina Faso,Maize,1997,748.0,75.29,28.52,15185
13983,India,Sweet potatoes,2010,1083.0,40093.69,26.61,92069
6657,Colombia,Sorghum,1997,3240.0,16005.0,27.54,32129
9794,Guinea,Sweet potatoes,2006,1651.0,376.19,27.2,37130
1531,Australia,Potatoes,2008,534.0,42935.38,14.11,381224
23728,Portugal,Yams,2012,854.0,12444.24,16.24,165217
868,Australia,Sorghum,1991,534.0,17866.0,16.78,19865
3736,Brazil,Cassava,2002,1761.0,145552.0,27.27,137949
22297,Pakistan,Sorghum,1999,494.0,20450.0,23.8,6167
18988,Mexico,Maize,1990,758.0,34468.93,19.27,19942
152,Algeria,Wheat,2000,89.0,603.67,17.9,9194
7823,Ecuador,"Rice, paddy",2004,2274.0,29799.84,22.33,42187
11215,India,Cassava,1994,1083.0,61357.0,25.01,245277
5157,Burundi,Wheat,1991,1274.0,92.08,20.97,7333
13035,India,"Rice, paddy",2005,1083.0,35342.0,24.12,31537
20835,Mozambique,Cassava,1996,1032.0,65.85,21.53,47674
28047,Zambia,Soybeans,2012,1020.0,1670.0,20.8,23941
10716,India,Maize,1991,1083.0,72133.0,25.06,13763
23013,Pakistan,Sweet potatoes,2011,494.0,1979.27,26.32,99623
349,Angola,Sorghum,2010,1010.0,40.0,24.44,2814
11219,India,Cassava,1994,1083.0,61357.0,25.75,245277
16995,Japan,"Rice, paddy",2010,1668.0,55576.0,16.01,65135
24211,Saudi Arabia,Wheat,1997,59.0,2513.0,25.88,44497
11976,India,"Rice, paddy",1998,1083.0,49157.0,25.91,28805
12061,India,Sweet potatoes,1998,1083.0,49157.0,27.32,86907
23112,Pakistan,"Rice, paddy",2013,494.0,0.92,27.38,37528
26441,Thailand,Wheat,2011,1622.0,87191.0,27.56,9085
22834,Pakistan,Wheat,2008,494.0,4946.79,19.34,24514
16019,Italy,Sweet potatoes,2013,832.0,55633.0,13.6,227753
7645,Ecuador,Wheat,1996,2274.0,2407.0,17.23,6176
13085,India,Soybeans,2005,1083.0,35342.0,25.4,10734
1738,Australia,Potatoes,2013,534.0,45177.18,17.39,385434
5986,Canada,Maize,2008,537.0,53707.3,7.5,90623
20788,Morocco,Soybeans,2013,346.0,13697.0,18.62,10000
12610,India,Wheat,2001,1083.0,43720.04,24.76,27081
26892,Turkey,"Rice, paddy",2005,593.0,40332.0,12.2,70664
3209,Brazil,Sweet potatoes,1996,1761.0,101621.67,18.63,86415
23676,Portugal,Potatoes,2004,854.0,16942.0,16.31,169935
21427,Nicaragua,"Rice, paddy",2005,2280.0,9391.92,27.2,33106
13544,India,Potatoes,2008,1083.0,14485.33,25.68,192973
24025,Rwanda,Potatoes,1999,1212.0,152.0,19.35,59083
11984,India,"Rice, paddy",1998,1083.0,49157.0,27.87,28805
2180,Bangladesh,Potatoes,1998,2666.0,2068.0,26.13,113972
14521,India,Sweet potatoes,2013,1083.0,45620.0,26.79,101288
23991,Rwanda,Sorghum,1995,1212.0,188.2,19.81,11521
22394,Pakistan,Wheat,2000,494.0,27885.0,23.6,24907
20876,Mozambique,Wheat,2001,1032.0,26.05,21.94,10000
3710,Brazil,Wheat,2001,1761.0,151523.0,18.67,19488
24093,Rwanda,Wheat,2007,1212.0,398.11,19.6,8948
25264,Spain,Maize,1993,636.0,29408.0,16.4,61736
4040,Brazil,Maize,2006,1761.0,238716.0,18.47,33823
12764,India,Sweet potatoes,2002,1083.0,42482.56,25.07,85694
6830,Colombia,Maize,2008,3240.0,48538.97,22.07,27712
13820,India,Sweet potatoes,2009,1083.0,28707.01,25.38,90080
26730,Turkey,Potatoes,1998,593.0,30162.0,19.92,258890
11698,India,Sweet potatoes,1996,1083.0,56114.0,27.37,80716
16272,Japan,Maize,1992,1668.0,79821.18,12.94,25180
6601,Colombia,"Rice, paddy",1994,3240.0,17051.34,27.17,40590
8312,Egypt,Soybeans,2007,51.0,9105.0,22.36,32880
26984,Turkey,"Rice, paddy",2008,593.0,37640.2,18.47,75716
27248,Uganda,Wheat,2000,1180.0,88.0,23.75,17143
1942,Azerbaijan,Maize,2006,447.0,148.68,12.66,45777
4858,Bulgaria,Sorghum,1996,608.0,3391.0,8.44,13158
11244,India,Maize,1994,1083.0,61357.0,24.84,14480
25596,Spain,Wheat,2009,636.0,35199.0,12.96,27103
15774,Italy,"Rice, paddy",1995,832.0,84153.0,7.43,55206
27627,United Kingdom,Potatoes,2005,1220.0,31415.27,10.63,435153
10165,Honduras,Sorghum,1990,1976.0,9880.07,24.53,10182
10477,Hungary,Wheat,2009,589.0,11144.0,11.48,38546
14654,Indonesia,Sweet potatoes,1992,2702.0,825.0,27.01,94481
21298,New Zealand,Sweet potatoes,2010,1732.0,5086.0,13.54,117803
13896,India,Potatoes,2010,1083.0,40093.69,26.52,199299
8173,Egypt,Sweet potatoes,1996,51.0,4499.0,20.85,231357
26995,Turkey,Wheat,2008,593.0,37640.2,19.92,23451
2187,Bangladesh,Sweet potatoes,1998,2666.0,2068.0,26.13,95325
26496,Tunisia,Sorghum,2004,207.0,625.06,19.37,4504
14665,Indonesia,Maize,1993,2702.0,1597.0,27.04,21975
8369,Egypt,Sweet potatoes,2011,51.0,12945.0,21.18,318249
2257,Bangladesh,Sorghum,2005,2666.0,7605.01,26.19,13214
13206,India,Potatoes,2006,1083.0,37423.0,27.15,185920
13694,India,Maize,2009,1083.0,28707.01,26.76,20238
5630,Canada,Maize,1992,537.0,29387.0,5.79,56927
20287,Mexico,Sorghum,2011,758.0,65961.1,16.64,37202
